region,locale,administrative_area,site,area,plot_type,plot_ID,latitude,longitude,easting,northing,measurement_date,time,landscape_position,inundated,standing_water_depth,soil_temp_10_cm,soil_temp_15_cm,soil_temp_20_cm,air_temp,thawdepth,thawdepth_flag,VWC,Ka
,,,,,,,,,,,yyyy-mm-dd,AKDT,,Y/N,cm,C,C,C,C,cm,,,
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-03,15:02,upland,N,0,5.8,NA,NA,16.7,58,V0,29.4,16.9
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-03,14:59,slope,Y,2,NA,NA,NA,16.7,80,V2,NA,NA
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-03,14:05,lowland,N,0,7,NA,NA,16.7,46,V0,57.8,36.5
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-03,13:54,upland,N,0,7.2,NA,NA,16.2,79,V0,35,21.2
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_15,64.85999,-163.69698,561764,7193487,2016-08-03,14:38,upland,N,0,5.2,NA,NA,16.2,56,V0,34.4,20.8
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_16,64.85915,-163.69208,561998,7193398,2016-08-03,18:50,slope,N,0,10.8,NA,NA,18.3,53,V0,NA,NA
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_2,64.85983,-163.70351,561455,7193463,2016-08-03,17:07,slope,N,0,5.2,NA,NA,18.4,37,V0,9.4,5.8
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_4,64.85978,-163.69829,561702,7193462,2016-08-03,16:34,upland,N,0,NA,NA,NA,17.7,80,V2,NA,NA
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_5,64.85936,-163.70338,561462,7193410,2016-08-03,16:04,slope,N,0,7.6,NA,NA,17.3,57,V0,13.3,7.2
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_6,64.85941,-163.70335,561464,7193416,2016-08-03,16:12,lowland,Y,6,7.1,NA,NA,17.0,59,V0,31.3,20.7
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_9,64.85976,-163.70061,561593,7193458,2016-08-03,15:33,upland,N,0,4.5,NA,NA,17.0,56,V0,26.9,14.5
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-04,15:07,upland,N,0,10.3,NA,NA,20.1,45,V0,30.6,17.9
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-04,12:57,upland,N,0,8.1,NA,NA,6.2,58,V0,64,41.6
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-04,13:15,slope,N,0,12.1,NA,NA,6.2,80,V2,77.7,56.5
