region,locale,administrative_area,site,area,plot_type,plot_ID,latitude,longitude,easting,northing,measurement_date,time,landscape_position,chamber_type,flux_CO2,flux_CO2_se,flux_CO2_Pvalue,flux_CO2_Rsquared,flux_CH4,flux_CH4_se,CH4_Pvalue,CH4_Rsquared
,,,,,,,,,,,,,,,umol_m-2_s-1,umol_m-2_s-1,,,nmol_m-2_s-1,nmol_m-2_s-1,,
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-03,17:25,upland,Opq,2.464,0.027,7.45E-154,0.979,-0.059,0.008,5.49E-12,0.228
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-03,17:19,upland,Trns,1.12,0.01,1.44E-116,0.991,-0.16,0.02,2.18E-12,0.349
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-03,15:02,upland,Trns,-0.844,0.017,2.94E-80,0.954,-0.74,0.033,1.12E-43,0.806
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-03,15:12,upland,Opq,1.624,0.013,3.52E-182,0.988,-0.416,0.011,2.09E-87,0.879
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-03,14:59,slope,Trns,-0.485,0.005,2.12E-149,0.983,146.418,0.24,1.28E-281,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-03,15:18,slope,Opq,1.082,0.003,1.33E-258,0.998,139.19,0.192,8.15056736297913e-317,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-03,14:05,lowland,Trns,-0.541,0.006,4.94E-125,0.98,1.145,0.016,1.41E-112,0.971
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-03,14:13,lowland,Opq,1.985,0.006,2.96E-206,0.999,1.037,0.018,4.98E-100,0.959
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-03,14:25,upland,Opq,3.346,0.013,4.02E-200,0.998,-2.43,0.016,2.97E-166,0.993
